total_purchase_count,average_order_value,days_since_first_purchase,days_since_last_purchase,product_category_diversity,loyalty_program_membership,estimated_lifetime_value
9.18,40.62,267.24,65.22,0.0472,Not Enrolled,302.05
21.04,154.65,752.56,51.01,0.465,Enrolled,2160.28
1.35,58.6,379.93,207.77,0.11,Not Enrolled,188.8
7.81,44.75,185.82,30.52,0.24,Not Enrolled,447.88
5.36,48.73,179.96,27.56,0.0599,Not Enrolled,484.75
13.64,137.99,421.53,48.0,0.434,Not Enrolled,1057.85
3.41,46.48,311.72,209.06,0.131,Not Enrolled,128.29
11.02,131.21,246.68,20.24,0.149,Not Enrolled,1184.09
28.42,55.94,627.92,38.98,0.644,Not Enrolled,1116.75
16.82,57.42,169.95,7.45,0.202,Not Enrolled,973.73
3.08,104.56,731.66,343.38,0.186,Enrolled,268.37
10.68,62.47,252.47,12.12,0.391,Not Enrolled,1059.95
4.47,135.05,273.19,31.83,0.0734,Not Enrolled,1127.59
13.8,129.48,409.86,19.69,0.592,Not Enrolled,1890.9
41.62,61.04,214.82,1.45,0.441,Enrolled,4202.03
1.42,114.72,106.13,58.19,0.375,Not Enrolled,414.09
3.14,85.03,233.5,222.5,0.398,Enrolled,159.03
1.07,19.72,260.46,169.21,0.044,Enrolled,94.16
32.12,114.33,1240.91,96.95,0.305,Not Enrolled,1492.06
2.75,57.3,50.11,7.61,0.219,Not Enrolled,593.24
3.63,154.7,210.74,13.62,0.217,Not Enrolled,1560.04
10.37,72.41,512.88,71.14,0.305,Not Enrolled,657.5
4.54,78.81,259.03,70.03,0.287,Not Enrolled,443.37
4.52,185.51,643.26,191.39,0.223,Not Enrolled,560.04
16.17,159.74,372.71,32.66,0.312,Enrolled,1557.49
1.06,78.73,205.99,131.23,0.251,Enrolled,267.78
2.06,60.58,303.85,160.86,0.0568,Enrolled,228.31
1.23,59.83,106.7,57.31,0.48,Not Enrolled,279.34
2.15,56.11,302.01,90.52,0.312,Enrolled,379.98
15.99,107.67,591.38,73.19,0.251,Not Enrolled,938.98
1.89,34.51,526.17,221.04,0.03,Not Enrolled,152.67
27.22,38.57,261.4,15.93,0.253,Not Enrolled,702.7
3.86,44.31,24.55,3.62,0.213,Not Enrolled,561.19
2.37,50.06,347.24,118.33,0.0262,Enrolled,282.75
3.46,142.73,274.18,84.0,0.198,Enrolled,654.48
3.82,72.87,418.94,160.76,0.384,Not Enrolled,264.69
20.45,132.78,1220.28,213.27,0.261,Not Enrolled,740.28
19.25,27.69,558.38,34.83,0.133,Not Enrolled,590.01
1.74,63.9,312.81,149.51,0.196,Enrolled,254.95
1.8,27.05,382.82,172.69,0.0553,Enrolled,160.93
10.9,171.06,614.22,63.22,0.483,Not Enrolled,1288.2
7.96,63.46,796.16,145.78,0.366,Not Enrolled,428.84
1.23,132.99,129.62,61.55,0.172,Enrolled,512.76
12.74,191.58,294.13,18.33,0.707,Not Enrolled,1865.75
1.51,49.05,96.43,35.05,0.22,Enrolled,366.93
5.28,73.13,498.06,88.24,0.371,Not Enrolled,542.37
2.29,45.21,216.85,115.08,0.285,Not Enrolled,197.72
11.73,161.78,444.17,57.47,0.14,Not Enrolled,1027.26
2.99,52.98,556.77,332.59,0.509,Enrolled,140.41
6.38,109.91,254.12,48.99,0.0647,Not Enrolled,646.71
2.99,58.28,93.36,24.7,0.092,Enrolled,442.08
3.69,57.26,324.09,44.56,0.386,Not Enrolled,598.57
7.15,136.02,913.04,152.53,0.613,Not Enrolled,798.74
7.54,99.74,399.94,118.01,0.253,Enrolled,442.67
3.31,41.11,374.19,63.46,0.279,Not Enrolled,392.96
23.37,119.64,660.93,60.69,0.674,Not Enrolled,1220.81
5.89,166.66,338.85,62.63,0.31,Not Enrolled,912.84
9.82,66.37,298.91,14.15,0.11,Not Enrolled,1155.98
4.2,108.76,459.8,159.49,0.355,Enrolled,411.69
6.62,84.43,198.65,34.8,0.476,Enrolled,695.44
4.0,81.84,639.29,192.91,0.608,Not Enrolled,340.11
18.11,77.29,319.99,19.04,0.299,Not Enrolled,1100.54
1.91,129.13,275.32,84.4,0.0971,Enrolled,583.22
8.68,178.33,294.62,6.58,0.434,Not Enrolled,3198.41
2.36,87.24,644.62,170.23,0.121,Enrolled,456.29
1.22,66.7,389.43,225.97,0.128,Enrolled,207.76
5.07,36.48,217.14,21.35,0.171,Not Enrolled,509.37
2.58,54.17,189.57,172.43,0.0441,Enrolled,159.42
19.42,47.98,675.78,99.16,0.326,Not Enrolled,447.45
1.55,33.11,470.81,235.7,0.328,Not Enrolled,136.56
2.71,88.32,554.9,86.66,0.324,Not Enrolled,648.27
0.329,39.66,205.2,316.53,0.0159,Enrolled,78.15
1.67,140.08,133.43,57.56,0.118,Enrolled,533.39
15.18,90.67,339.94,38.9,0.383,Enrolled,896.48
9.65,69.58,448.8,40.26,0.55,Not Enrolled,838.11
6.17,98.91,273.63,22.64,0.362,Not Enrolled,1135.36
24.23,237.93,297.87,2.93,0.385,Not Enrolled,4858.49
67.02,123.13,539.28,7.37,0.418,Not Enrolled,3354.18
2.87,109.1,365.25,137.75,0.0918,Enrolled,387.79
4.13,39.82,441.28,165.26,0.0666,Enrolled,208.54
10.4,78.55,281.44,21.6,0.148,Not Enrolled,985.06
11.07,27.88,195.17,37.59,0.233,Not Enrolled,253.1
5.31,58.41,341.87,23.74,0.414,Enrolled,1079.94
11.62,42.5,595.83,164.25,0.29,Enrolled,313.53
11.18,137.24,719.13,87.7,0.19,Not Enrolled,950.89
12.38,107.16,788.62,206.37,0.698,Not Enrolled,420.96
5.16,82.04,414.87,102.1,0.358,Not Enrolled,481.6
9.29,21.91,675.79,156.11,0.501,Enrolled,198.9
2.56,35.19,119.55,59.78,0.189,Enrolled,247.73
4.96,79.12,146.93,16.34,0.37,Enrolled,919.56
5.58,127.61,123.95,7.74,0.578,Not Enrolled,1603.28
3.73,51.1,170.38,81.82,0.289,Enrolled,246.99
0.855,110.73,239.85,99.89,0.214,Not Enrolled,402.05
3.14,29.68,243.82,53.83,0.0353,Enrolled,300.11
2.7,54.11,409.75,183.56,0.15,Enrolled,229.11
27.1,87.05,558.2,25.2,0.44,Enrolled,1741.56
2.39,39.67,312.16,368.12,0.149,Not Enrolled,71.72
9.07,185.19,833.43,214.75,0.625,Not Enrolled,563.46
7.37,71.89,536.12,60.35,0.0802,Not Enrolled,744.16
4.7,291.64,571.17,135.26,0.344,Not Enrolled,972.09
1.39,24.41,181.04,78.82,0.327,Enrolled,171.91
4.34,161.49,263.56,50.94,0.313,Not Enrolled,866.23
5.38,38.93,451.88,61.06,0.0599,Not Enrolled,454.93
6.45,99.37,537.19,96.68,0.166,Enrolled,686.46
4.17,41.18,181.38,22.98,0.116,Not Enrolled,521.54
1.2,181.25,342.82,137.62,0.188,Enrolled,654.62
3.42,43.47,141.44,45.86,0.042,Enrolled,302.67
2.52,52.52,242.81,46.08,0.0832,Not Enrolled,472.03
6.51,182.58,276.72,23.06,0.474,Not Enrolled,1441.03
5.31,53.42,69.85,7.37,0.126,Not Enrolled,615.19
1.05,43.71,168.37,143.55,0.182,Enrolled,151.37
3.27,51.68,570.1,133.27,0.111,Enrolled,402.13
19.33,116.99,248.13,11.68,0.203,Not Enrolled,1444.47
38.47,98.17,419.78,25.76,0.588,Not Enrolled,1283.21
4.82,94.45,463.59,179.24,0.601,Enrolled,354.58
8.96,98.19,160.66,23.08,0.285,Not Enrolled,771.23
1.59,127.3,44.93,24.0,0.271,Enrolled,561.12
73.92,355.07,691.13,8.93,0.599,Not Enrolled,6760.47
15.44,210.74,424.21,10.12,0.292,Not Enrolled,3592.04
5.79,173.5,545.59,105.93,0.144,Not Enrolled,826.21
0.68,52.69,35.01,40.01,0.0957,Enrolled,243.5
15.31,79.43,215.25,10.17,0.438,Not Enrolled,1269.49
7.23,140.98,395.07,83.33,0.315,Not Enrolled,718.13
3.12,170.11,294.52,98.13,0.168,Not Enrolled,563.2
2.64,100.5,42.89,7.03,0.165,Enrolled,930.94
5.69,83.82,632.65,226.03,0.144,Enrolled,321.52
4.17,65.09,112.83,11.19,0.122,Enrolled,882.32
7.61,153.24,439.44,123.05,0.263,Enrolled,650.57
1.07,88.77,43.96,26.24,0.55,Enrolled,456.85
4.94,72.46,71.16,4.37,0.213,Enrolled,1166.96
25.49,224.22,689.35,42.36,0.459,Not Enrolled,2457.36
4.42,66.41,672.64,202.36,0.405,Not Enrolled,297.83
0.951,187.7,117.25,52.38,0.122,Not Enrolled,620.24
2.35,152.95,202.87,79.28,0.0651,Not Enrolled,464.56
1.03,112.55,322.84,152.08,0.0481,Enrolled,417.45
23.43,66.95,1477.42,163.11,0.34,Not Enrolled,869.98
3.54,34.58,511.04,245.08,0.168,Enrolled,149.18
10.19,148.21,290.36,22.41,0.478,Not Enrolled,1554.49
1.39,77.53,218.9,98.13,0.129,Not Enrolled,315.62
2.8,33.8,423.19,233.56,0.214,Enrolled,133.84
4.8,87.55,232.73,65.93,0.281,Enrolled,487.41
2.11,139.23,574.77,283.24,0.217,Not Enrolled,261.23
1.41,54.41,112.58,153.91,0.0734,Enrolled,142.41
7.96,23.81,204.11,23.76,0.291,Not Enrolled,334.21
4.2,114.23,279.54,30.72,0.104,Not Enrolled,1065.25
1.58,116.35,238.31,106.63,0.167,Enrolled,418.59
1.19,120.84,65.32,31.94,0.049,Not Enrolled,494.87
12.23,123.71,356.57,32.17,0.239,Not Enrolled,1095.3
3.65,137.28,233.61,86.56,0.238,Not Enrolled,426.41
2.83,48.25,322.52,96.36,0.105,Not Enrolled,305.89
7.84,81.93,266.69,54.47,0.347,Not Enrolled,549.54
3.62,47.72,63.69,12.58,0.0946,Enrolled,501.34
4.82,70.53,529.24,205.65,0.281,Enrolled,278.99
20.62,85.14,358.98,7.58,0.122,Not Enrolled,1843.89
4.36,42.96,1392.04,406.57,0.18,Not Enrolled,210.4
12.56,88.51,439.59,52.1,0.24,Not Enrolled,812.52
3.81,96.09,325.04,73.54,0.264,Enrolled,679.17
6.38,28.22,441.89,70.13,0.368,Not Enrolled,324.72
2.76,121.95,626.25,190.37,0.129,Enrolled,463.27
2.55,49.47,245.79,118.02,0.108,Enrolled,244.69
19.66,145.05,916.74,211.25,0.346,Not Enrolled,554.59
13.41,111.73,486.43,30.38,0.227,Enrolled,1630.88
8.14,56.57,294.54,119.39,0.434,Not Enrolled,241.8
1.75,55.76,247.48,169.91,0.115,Enrolled,193.53
10.33,42.28,427.57,148.79,0.395,Not Enrolled,188.0
1.68,53.23,960.48,408.07,0.104,Enrolled,174.22
7.32,90.97,434.52,101.69,0.125,Not Enrolled,489.81
4.51,82.68,239.15,51.14,0.129,Enrolled,566.91
1.18,44.24,162.6,122.25,0.0437,Enrolled,182.11
2.65,69.7,385.8,128.82,0.29,Enrolled,382.62
8.01,195.66,402.18,31.38,0.325,Not Enrolled,1700.37
5.15,46.83,248.05,31.51,0.233,Not Enrolled,560.66
2.69,44.32,439.48,148.34,0.12,Not Enrolled,210.03
7.45,194.09,450.35,101.39,0.408,Enrolled,831.54
0.904,208.4,80.04,49.27,0.00911,Not Enrolled,514.49
8.56,107.92,674.44,164.73,0.499,Enrolled,589.95
3.74,156.36,311.02,99.12,0.403,Enrolled,610.47
2.24,25.17,171.45,55.53,0.0661,Enrolled,207.01
11.47,58.9,435.97,53.04,0.384,Not Enrolled,662.63
8.76,57.32,705.55,96.13,0.2,Not Enrolled,625.04
6.58,45.73,402.36,72.87,0.15,Enrolled,441.99
1.2,129.72,123.3,60.05,0.563,Enrolled,499.7
8.67,32.59,175.72,16.97,0.304,Not Enrolled,503.78
3.16,30.76,46.4,2.21,0.141,Not Enrolled,772.94
19.55,129.04,435.3,23.2,0.747,Not Enrolled,1801.7
2.37,91.58,230.66,110.76,0.356,Enrolled,381.3
7.41,96.92,364.06,51.55,0.515,Enrolled,1043.94
1.32,60.37,165.18,130.71,0.187,Enrolled,213.39
4.28,35.5,306.86,37.75,0.195,Not Enrolled,428.0
4.47,47.01,612.85,294.54,0.224,Enrolled,163.88
23.33,48.13,668.62,110.73,0.458,Enrolled,463.23
5.19,81.24,804.32,193.12,0.369,Not Enrolled,440.25
3.46,37.7,404.09,150.62,0.259,Enrolled,210.1
9.27,58.01,257.13,10.37,0.367,Not Enrolled,1256.54
45.0,121.46,217.96,5.03,0.401,Not Enrolled,2109.48
23.35,100.66,989.89,38.59,0.281,Enrolled,2524.93
4.41,30.79,93.63,4.75,0.189,Not Enrolled,688.14
4.64,58.37,112.63,9.28,0.0447,Not Enrolled,786.94
12.18,43.4,854.22,142.12,0.245,Not Enrolled,374.1
0.686,26.02,553.79,342.47,0.259,Enrolled,97.82
38.68,113.25,994.33,38.84,0.549,Not Enrolled,2193.95
7.85,164.6,557.8,141.17,0.204,Not Enrolled,618.87
3.43,124.38,290.91,99.53,0.245,Enrolled,490.68
8.5,264.3,141.99,14.56,0.198,Not Enrolled,1469.74
2.25,61.83,412.87,201.06,0.102,Not Enrolled,188.87
1.61,114.56,141.22,31.41,0.0492,Not Enrolled,648.48
8.55,57.67,168.24,41.13,0.295,Not Enrolled,349.57
4.66,117.06,781.72,149.38,0.273,Enrolled,723.43
9.0,48.65,347.69,33.41,0.629,Not Enrolled,731.86
1.05,41.14,101.41,92.14,0.0606,Enrolled,167.76
22.7,140.07,1445.69,209.27,0.66,Not Enrolled,927.64
16.87,71.4,982.93,85.33,0.0299,Not Enrolled,923.89
7.28,99.64,276.8,57.89,0.322,Not Enrolled,600.94
4.9,18.35,223.3,40.45,0.361,Not Enrolled,218.9
33.76,407.77,866.4,34.65,0.535,Not Enrolled,3375.87
0.74,24.18,450.79,371.79,0.153,Enrolled,83.79
7.46,97.03,207.13,15.41,0.39,Not Enrolled,1119.69
5.28,58.41,56.95,5.99,0.516,Not Enrolled,751.19
3.42,184.37,664.4,218.83,0.154,Not Enrolled,469.62
0.967,79.77,175.9,71.28,0.198,Not Enrolled,381.4
55.36,131.25,241.74,2.38,0.389,Not Enrolled,3122.38
15.85,85.91,654.02,78.43,0.454,Not Enrolled,741.64
135.61,153.09,370.84,2.52,0.75,Not Enrolled,4501.35
8.19,75.95,211.44,10.3,0.278,Not Enrolled,1220.18
13.74,151.7,123.49,4.22,0.436,Not Enrolled,1891.47
9.04,144.35,245.2,18.45,0.2,Enrolled,1523.95
7.9,128.75,696.48,87.88,0.141,Not Enrolled,1064.22
11.51,85.77,168.36,16.31,0.736,Not Enrolled,970.54
5.28,102.56,384.16,63.32,0.127,Enrolled,765.87
5.32,45.66,55.22,3.95,0.365,Not Enrolled,801.28
3.31,141.79,516.18,139.14,0.584,Not Enrolled,611.04
4.23,222.03,168.13,29.53,0.411,Not Enrolled,1127.61
11.39,185.19,425.46,16.02,0.169,Not Enrolled,2469.81
4.16,207.29,121.06,22.05,0.259,Not Enrolled,1002.74
7.97,126.88,310.58,80.84,0.16,Enrolled,633.86
3.12,42.0,79.19,15.66,0.264,Not Enrolled,429.99
21.99,134.16,331.03,4.27,0.216,Not Enrolled,3408.09
1.52,47.61,577.01,418.26,0.24,Enrolled,104.83
1.58,33.32,490.93,358.55,0.0191,Enrolled,90.21
1.46,114.69,120.55,48.74,0.62,Not Enrolled,424.24
2.21,69.84,127.51,20.98,0.0443,Not Enrolled,636.62
9.96,80.31,239.03,13.8,0.456,Not Enrolled,1196.13
16.75,42.5,742.53,73.29,0.32,Not Enrolled,641.32
1.03,59.34,51.37,38.73,0.0491,Enrolled,278.91
4.63,184.4,535.3,92.25,0.422,Not Enrolled,949.52
5.47,79.31,415.73,68.78,0.293,Enrolled,805.83
7.85,70.4,134.23,10.33,0.289,Not Enrolled,864.09
2.64,21.63,145.25,57.4,0.0737,Not Enrolled,159.59
6.97,58.05,247.51,59.55,0.264,Not Enrolled,402.98
10.58,49.28,113.6,12.92,0.291,Enrolled,661.78
19.09,65.97,922.2,142.28,0.237,Not Enrolled,521.41
0.406,58.49,108.28,122.95,0.037,Enrolled,167.93
5.85,78.89,184.14,36.14,0.178,Enrolled,638.29
13.91,354.11,344.42,30.47,0.642,Not Enrolled,2007.64
8.91,64.39,283.55,38.13,0.195,Not Enrolled,603.38
86.78,187.06,433.74,2.31,0.671,Not Enrolled,6525.23
8.99,66.97,394.64,34.22,0.247,Not Enrolled,804.26
4.54,46.58,67.53,20.14,0.254,Enrolled,377.31
2.28,47.33,191.73,190.31,0.179,Enrolled,143.48
4.85,38.23,304.4,104.92,0.197,Not Enrolled,231.08
11.75,74.71,423.88,57.74,0.172,Not Enrolled,597.98
1.17,25.6,163.93,130.21,0.0794,Enrolled,128.84
19.26,144.86,925.1,96.32,0.492,Enrolled,1485.64
3.96,222.19,217.96,23.11,0.313,Not Enrolled,1566.78
3.65,79.11,316.7,207.98,0.288,Not Enrolled,182.62
0.801,58.18,741.22,362.07,0.00323,Enrolled,167.67
5.47,40.84,354.21,64.88,0.0874,Not Enrolled,335.34
0.675,256.87,414.98,352.55,0.123,Enrolled,247.75
1.39,93.93,90.89,108.25,0.27,Not Enrolled,193.81
31.06,167.16,355.63,10.62,0.389,Not Enrolled,2576.29
8.07,60.52,408.73,110.18,0.194,Not Enrolled,326.96
7.83,178.47,170.01,22.6,0.398,Not Enrolled,1170.99
8.02,86.48,516.3,54.9,0.253,Not Enrolled,949.03
3.08,55.3,184.42,91.6,0.343,Enrolled,251.31
2.18,41.31,312.95,106.21,0.0573,Not Enrolled,235.22
4.47,87.13,228.77,66.94,0.307,Not Enrolled,415.85
13.23,58.24,1174.54,161.02,0.269,Not Enrolled,591.56
2.06,338.12,296.6,96.04,0.163,Not Enrolled,841.62
8.07,67.33,389.85,38.44,0.153,Not Enrolled,807.12
2.35,109.58,172.79,73.16,0.154,Enrolled,492.0
3.47,116.01,214.44,58.25,0.336,Not Enrolled,600.59
0.92,46.98,282.89,190.88,0.0277,Enrolled,153.33
2.9,22.42,135.91,17.45,0.318,Not Enrolled,337.59
1.73,51.07,946.28,289.29,0.255,Not Enrolled,263.19
14.05,29.41,354.68,41.07,0.236,Not Enrolled,397.29
8.05,94.17,241.42,16.16,0.432,Not Enrolled,1229.82
2.65,85.63,107.64,12.41,0.15,Not Enrolled,860.1
11.68,192.59,158.15,1.72,0.248,Not Enrolled,4877.17
2.0,148.14,155.19,27.39,0.422,Not Enrolled,947.22
13.39,64.59,790.35,60.34,0.164,Not Enrolled,831.24
3.54,71.12,454.8,184.56,0.2,Enrolled,306.27
1.2,58.67,482.12,315.07,0.0426,Enrolled,150.95
0.57,76.2,169.97,257.9,0.163,Enrolled,137.73
4.25,39.32,349.7,78.15,0.185,Enrolled,391.1
2.61,117.05,413.97,145.23,0.309,Not Enrolled,410.0
1.52,50.46,6.74,2.07,0.0829,Enrolled,567.72
2.31,35.8,519.69,352.2,0.227,Not Enrolled,86.76
12.46,59.04,587.1,52.48,0.189,Not Enrolled,846.54
7.74,89.16,892.19,169.53,0.406,Not Enrolled,582.01
13.12,410.35,718.34,66.86,0.569,Enrolled,2826.0
4.04,46.67,689.01,140.39,0.263,Enrolled,398.46
1.87,115.36,249.07,104.63,0.439,Enrolled,431.81
8.33,59.36,625.83,107.23,0.147,Enrolled,544.49
7.63,69.8,297.56,22.14,0.322,Not Enrolled,946.48
3.58,85.4,64.83,5.75,0.0609,Enrolled,1065.11
16.69,101.21,355.39,22.32,0.526,Not Enrolled,1210.43
8.12,140.24,219.89,19.74,0.393,Not Enrolled,1328.72
0.457,38.32,98.92,122.5,0.0692,Enrolled,133.72
2.96,75.1,602.46,124.72,0.407,Not Enrolled,491.34
2.56,20.7,386.51,163.34,0.258,Enrolled,124.27
7.34,61.47,180.26,24.78,0.182,Not Enrolled,596.4
1.66,21.42,948.64,593.98,0.199,Enrolled,66.74
14.12,169.72,862.13,112.12,0.506,Enrolled,1421.96
4.35,87.29,206.31,16.99,0.301,Not Enrolled,807.62
5.3,76.28,96.99,21.74,0.324,Not Enrolled,561.16
38.34,151.69,281.87,2.07,0.37,Not Enrolled,4569.66
4.2,56.04,158.51,37.75,0.078,Enrolled,463.24
9.86,126.02,96.81,4.13,0.474,Not Enrolled,1543.76
6.95,128.18,311.9,48.11,0.377,Not Enrolled,775.87
17.31,87.05,386.15,40.55,0.311,Enrolled,961.9
2.66,45.01,150.52,63.06,0.285,Enrolled,276.88
6.86,55.93,561.67,236.16,0.461,Enrolled,210.28
11.57,54.7,615.74,61.13,0.527,Not Enrolled,750.5
5.56,143.73,243.73,23.82,0.226,Not Enrolled,1100.71
8.22,56.09,701.49,142.5,0.337,Not Enrolled,388.49
24.42,39.55,744.03,27.03,0.185,Not Enrolled,1181.79
7.54,79.76,316.49,29.27,0.357,Not Enrolled,940.59
9.75,165.65,931.96,265.31,0.662,Not Enrolled,506.28
2.83,110.38,325.92,176.06,0.163,Not Enrolled,263.67
12.35,171.31,304.14,31.02,0.24,Enrolled,1445.66
18.72,93.7,604.03,94.63,0.173,Not Enrolled,687.22
5.73,88.79,207.82,36.83,0.388,Not Enrolled,644.68
10.44,272.35,503.43,41.1,0.605,Not Enrolled,2257.3
9.3,372.97,203.73,13.64,0.323,Not Enrolled,2509.72
2.13,220.59,281.21,69.3,0.139,Not Enrolled,871.63
6.99,78.32,193.43,13.09,0.404,Not Enrolled,1120.73
9.4,277.91,495.98,90.41,0.375,Not Enrolled,1061.09
2.13,80.46,359.79,233.88,0.0908,Enrolled,191.57
1.59,27.46,82.5,31.77,0.179,Enrolled,238.95
1.88,71.21,153.89,162.97,0.182,Enrolled,178.43
6.62,74.04,316.56,31.38,0.402,Not Enrolled,847.32
8.62,147.17,308.2,43.53,0.731,Not Enrolled,949.74
4.61,101.95,147.49,13.72,0.245,Not Enrolled,995.56
0.507,32.3,221.11,233.17,0.122,Enrolled,93.86
27.72,153.93,681.08,115.32,0.557,Not Enrolled,841.16
1.49,104.21,345.3,117.49,0.293,Not Enrolled,398.72
3.96,109.26,157.4,62.38,0.538,Enrolled,526.83
3.06,76.14,1053.24,426.78,0.0228,Not Enrolled,177.77
1.95,53.46,112.15,51.94,0.261,Enrolled,342.21
4.23,55.08,75.91,13.61,0.15,Enrolled,562.61
1.91,25.61,120.99,105.81,0.179,Enrolled,116.58
1.82,188.18,191.28,83.5,0.4,Not Enrolled,505.76
29.57,56.79,649.34,22.07,0.322,Not Enrolled,1270.44
13.91,116.05,330.91,5.16,0.519,Not Enrolled,3420.84
2.32,96.61,697.29,282.37,0.144,Enrolled,289.42
2.74,115.31,125.98,21.24,0.513,Not Enrolled,730.91
8.94,65.21,713.96,74.09,0.25,Not Enrolled,770.3
24.23,58.43,439.64,14.68,0.43,Not Enrolled,1247.85
2.18,43.2,416.11,194.69,0.457,Enrolled,210.85
5.01,39.17,654.21,213.79,0.412,Enrolled,235.33
3.1,32.84,242.26,78.88,0.112,Not Enrolled,229.6
